"Category","Case","Title","Status","Backlog Order","Story Points","Assigned To","Area","Priority","Milestone","Date Resolved","User Story","Release Notes","Title"
"Bug",171364,"Orders Area is Throwing an View Not Found Error","Resolved (To Production)",,0,"TQA Lawton","Admin: Order: Retail","3 – Must Fix","NexMarket v1.0.0","02/29/2024 11:18 AM","Reproduction Steps
* Navigate to Sales -> Orders
* Error is thrown",,"Orders Area is Throwing an View Not Found Error - Case tested on Beta and ready for Production through the test process."
"Bug",171613,"unable to add new nexport registration field categories","Resolved (To Production)",,0,"TQA Lawton","Misc","3 – Must Fix","NexMarket v1.0.0","03/06/2024 1:40 PM","attempted to add a new nexport registration field category and the add page never loads. system log shows error that Plugins.Misc.Nexport.RegistrationField.Category.Title.Required resource is missing",,"unable to add new nexport registration field categories - Case tested on Beta and ready for Production through the test process."
"Bug",173338,"store search displaying deleted stores","Resolved (To Production)",,0,"TQA Lawton","Admin: Store","3 – Must Fix","NexMarket v1.0.0","09/25/2023 2:24 PM","admin store page is still displaying stores after they have been deleted",,"store search displaying deleted stores - Tested on beta, ready for production"
"Bug",174760,"deleted stores showing up as empty rows in nexport product mappings","Resolved (To Production)",,0,"TQA Lawton","Admin: Plugin: Mapping","3 – Must Fix","NexMarket v1.0.0","11/17/2023 1:55 PM","deleted stores showing up as empty rows in nexport product mappings",,"deleted stores showing up as empty rows in nexport product mappings - Tested on beta, ready for production"
"Bug",176445,"Edit Supplemental Info Quests -> Add Group Membership Silently Fails","Resolved (To Production)",,0,"TQA Lawton","Admin: Customer","3 – Must Fix","NexMarket v1.0.0","09/10/2024 5:42 PM",,,"Edit Supplemental Info Quests -> Add Group Membership Silently Fails - Case tested on Beta and ready for Production through the test process."
"Bug",177470,"font awesome icons no showing up on my training page","Resolved (To Production)",,0,"TQA Lawton","Admin: Order: Wholesale","3 – Must Fix","NexMarket v1.0.0","02/01/2024 4:20 PM",,,"font awesome icons no showing up on my training page - Case tested on Beta and ready for Production through the test process."
"Bug",177485,"redeem not working for open ended product","Resolved (To Production)",,0,"TQA Lawton","Admin: Order: Wholesale","3 – Must Fix","NexMarket v1.0.0","02/21/2024 10:09 PM","product redemption fails to process for open ended product, whether by email or instantly",,"redeem not working for open ended product - Case tested on Beta and ready for Production through the test process."
"Bug",178102,"redemption queue item gets stuck if redeeming user id is empty guid","Resolved (To Production)",,0,"TQA Lawton","Admin: Order: Wholesale","3 – Must Fix","NexMarket v1.0.0","03/06/2024 2:12 PM",,,"redemption queue item gets stuck if redeeming user id is empty guid - Case tested on Beta and ready for Production through the test process."
"Bug",179083,"Order details error","Resolved (To Production)",,0,"TQA Lawton","Customer View","3 – Must Fix","NexMarket v1.0.0","02/21/2024 9:20 PM",,,"Order details error - Case tested on Beta and ready for Production through the test process."
"Bug",179109,"Error searching for customer on assign redemption page","Resolved (To Production)",,0,"TQA Lawton","Admin: Order: Wholesale","3 – Must Fix","NexMarket v1.0.0","02/21/2024 9:30 PM","tried to search for existing customer by name on assign redemptions form and got an error",,"Error searching for customer on assign redemption page - Case tested on Beta and ready for Production through the test process."
"Bug",179257,"Purchases not limited to individual","Resolved (To Production)",,0,"TQA Lawton","Customer View","3 – Must Fix","NexMarket v1.0.0","08/07/2024 8:34 PM",,,"Purchases not limited to individual - Case tested on Beta and ready for Production through the test process.  Results:"
"Bug",179258,"Name of person and email entered for an assigned redemption does not show on screen","Resolved (To Production)",,0,"TQA Lawton","Customer View","3 – Must Fix","NexMarket v1.0.0","02/29/2024 10:38 AM",,,"Name of person and email entered for an assigned redemption does not show on screen - Case tested on Beta and ready for Production through the test process."
"Bug",179260,"Unable to complete a redemption for a user, stuck in processing state ","Resolved (To Production)",,0,"TQA Lawton","Customer View","3 – Must Fix","NexMarket v1.0.0","03/06/2024 2:05 PM",,,"Unable to complete a redemption for a user, stuck in processing state  - Case tested on Beta and ready for Production through the test process."
"Bug",179289,"Error was encoucountered after clicking the New Customer button","Resolved (To Production)",,0,"TQA Lawton","Customer View","3 – Must Fix","NexMarket v1.0.0","08/07/2024 9:03 PM",,,"Error was encoucountered after clicking the New Customer button - Case tested on Beta and ready for Production through the test process."
"Bug",179456,"Error purchase redemption list stuck loading","Resolved (To Production)",,0,"TQA Lawton","Admin: Order: Wholesale","3 – Must Fix","NexMarket v1.0.0","02/29/2024 10:45 AM","purchase redemption list stuck with loading spinner and never displays list",,"Error purchase redemption list stuck loading - Case tested on Beta and ready for Production through the test process."
"Bug",179564,"Customer Configured error?","Resolved (To Production)",,0,"TQA Lawton","Customer View","3 – Must Fix","NexMarket v1.0.0","08/07/2024 9:03 PM",,,"Customer Configured error? - Case tested on Beta and ready for Production through the test process."
"Bug",179566,"Redeem and Assign buttons should both appear on all orders that are not auto redeemed","Resolved (To Production)",,0,"TQA Lawton","Customer View","3 – Must Fix","NexMarket v1.0.0","08/07/2024 8:35 PM",,,"Redeem and Assign buttons should both appear on all orders that are not auto redeemed - Case tested on Beta and ready for Production through the test process."
"Bug",179568,"Assign page: No option available if search does not contain correct individual","Resolved (To Production)",,0,"TQA Lawton","Customer View","3 – Must Fix","NexMarket v1.0.0","08/07/2024 9:03 PM",,,"Assign page: No option available if search does not contain correct individual - Case tested on Beta and ready for Production through the test process."
"Bug",179946,"redeem product validation not working","Resolved (To Production)",,0,"TQA Lawton","Admin: Order: Wholesale","3 – Must Fix","NexMarket v1.0.0","08/07/2024 8:35 PM","email, first name, and last name should validate that they are not empty on the redeem product page. email should validate that it is a valid email. These validation messages are not showing up when clicking continue ",,"redeem product validation not working - Case tested on Beta and ready for Production through the test process."
"Bug",180512,"The Add to Cart button not working for product on a category screen","Resolved (To Production)",,0,"TQA Lawton","Customer View","3 – Must Fix","NexMarket v1.0.0","07/29/2024 3:14 PM",,,"The Add to Cart button not working for product on a category screen - Case tested on Beta and ready for Production through the test process."
"Bug",180513,"Cannot access product page from the category page","Resolved (To Production)",,0,"TQA Lawton","Customer View","3 – Must Fix","NexMarket v1.0.0","08/07/2024 9:03 PM",,,"Cannot access product page from the category page - Case tested on Beta and ready for Production through the test process."
"Bug",180543,"cancel pending order request error r.resultstatus is not a field","Resolved (To Production)",,0,"TQA Lawton","Customer View: My Orders","3 – Must Fix","NexMarket v1.0.0","08/07/2024 9:03 PM","getting a linq error when trying to request cancel a pending order. go to the order details page of an order that is pending and received an error on screen that says r.result status is not a field. error is for the cancelpendingorderrequest table.",,"cancel pending order request error r.resultstatus is not a field - Case tested on Beta and ready for Production through the test process."
"Bug",180970,"Problem with token in unassignment request email","Resolved (To Production)",,0,"TQA Lawton","Customer View","3 – Must Fix","NexMarket v1.0.0","01/22/2025 8:26 PM",,,"Problem with token in unassignment request email - Case tested on Beta and ready for Production through the test process."
"Bug",205804,"Product mapping settings are not persistent after saving","Resolved (To Production)",,0,"TQA Lawton","Admin: Plugin: Mapping","3 – Must Fix","NexMarket v1.0.0","05/01/2025 1:28 PM",,,"Product mapping settings are not persistent after saving - Case tested on Beta and ready for Production through the test process."
"Bug",169626,"Update Themes to Support Latest Version of NopCommerce - Throws Error for Non Default Themes","Resolved (To Testing)",,0,"TQA Lawton","Theme","3 – Must Fix","NexMarket v1.0.0","09/25/2025 2:37 PM","Reproduction Steps
* nexmarket-beta.com
* Change theme to non-default theme
* View store
* Error is thrown",,"Update Themes to Support Latest Version of NopCommerce - Throws Error for Non Default Themes"
"Bug",171632,"Print PDF Invoices (all found) Does Not Work","Resolved (Won't Fix)",,0,"Stephen Dykes","Admin: Order: Retail","3 – Must Fix","NexMarket v1.0.0","05/19/2023 11:57 AM","Selecting Print PDF invoices does nothing as well as
Print PDF invoices (all found) does nothing",,"Print PDF Invoices (all found) Does Not Work - This is NopCommerce built-in feature so we won't be able to fix it. We should only focus on our stuff."
"Documentation Task",208672,"Document the recommended HS Workflow post 1.0","Active (Not Started)",,0,"Unassigned","Misc","3 – Must Fix","NexMarket v1.0.0",,,,"Document the recommended HS Workflow post 1.0"
"Engineering Task",184022,"Add migration to turn off lock escalation in DB","Active",,0,"Thai Nguyen","Misc","3 – Must Fix","NexMarket v1.0.0",,,,"Add migration to turn off lock escalation in DB - Need to turn off lock escalation for Log, Customer, QueuedEmail, ShoppingCartItem"
"Engineering Task",154817,"Admin should be able to select students to assign the scholarships","Resolved (Completed)",,0,"Any Nexport Engineer","Admin: Plugin: General","3 – Must Fix","NexMarket v1.0.0","10/18/2023 7:59 PM",,,"Admin should be able to select students to assign the scholarships"
"Engineering Task",154818,"Admin should be able to select the Library Group for the scholarship","Resolved (Completed)",,0,"Any Nexport Engineer","Admin: Plugin: General","3 – Must Fix","NexMarket v1.0.0","10/18/2023 7:59 PM",,,"Admin should be able to select the Library Group for the scholarship"
"Engineering Task",154819,"Admin should be able to select the Funding Pool that exist in a Library Group","Resolved (Completed)",,0,"Any Nexport Engineer","Admin: Plugin: General","3 – Must Fix","NexMarket v1.0.0","12/04/2023 3:39 PM",,,"Admin should be able to select the Funding Pool that exist in a Library Group"
"Engineering Task",154822,"Admin needs to be able to set the scholarship's RedeemBy date","Resolved (Completed)",,0,"Any Nexport Engineer","Admin: Plugin: General","3 – Must Fix","NexMarket v1.0.0","10/18/2023 7:57 PM",,,"Admin needs to be able to set the scholarship's RedeemBy date"
"Engineering Task",154823,"Admin needs to be able to set the scholarship's Owner Group","Resolved (Completed)",,0,"Any Nexport Engineer","Admin: Plugin: General","3 – Must Fix","NexMarket v1.0.0","10/18/2023 7:58 PM",,,"Admin needs to be able to set the scholarship's Owner Group"
"Engineering Task",154830,"Admin should be able to assign a scholarship to a Library Group","Resolved (Completed)",,0,"Any Nexport Engineer","Admin: Plugin: General","3 – Must Fix","NexMarket v1.0.0","10/18/2023 7:59 PM",,,"Admin should be able to assign a scholarship to a Library Group"
"Engineering Task",154831,"Admin should be able to select a new Owner Group for a scholarship","Resolved (Completed)",,0,"Any Nexport Engineer","Admin: Plugin: General","3 – Must Fix","NexMarket v1.0.0","10/18/2023 7:59 PM",,,"Admin should be able to select a new Owner Group for a scholarship"
"Engineering Task",154832,"NexMarket should be able to set the Owner Group of a Redemption","Resolved (Completed)",,0,"Any Nexport Engineer","Admin: Plugin: General","3 – Must Fix","NexMarket v1.0.0","10/18/2023 8:00 PM",,,"NexMarket should be able to set the Owner Group of a Redemption"
"Engineering Task",171626,"Need to add a property for Purchasing group to invoice items in Marketplace","Resolved (Completed)",,0,"Any Nexport Engineer","Customer View: My Orders","3 – Must Fix","NexMarket v1.0.0","10/24/2023 10:22 AM",,,"Need to add a property for Purchasing group to invoice items in Marketplace"
"Engineering Task",177271,"Add funding pool logic to order placed event","Resolved (Completed)",,0,"Any Nexport Engineer","Admin: Order: Wholesale","3 – Must Fix","NexMarket v1.0.0","01/09/2025 1:29 PM","add funding pool and other generic attribute logic from benjamins code to order placed/order processing workflow",,"Add funding pool logic to order placed event"
"Engineering Task",179063,"Ensure NexPort is recording this information with the invoice item audit logs","Resolved (Completed)",,0,"Any Nexport Engineer","Customer View","3 – Must Fix","NexMarket v1.0.0","05/20/2025 10:36 AM",,,"Ensure NexPort is recording this information with the invoice item audit logs"
"Engineering Task",154825,"Admin should be able to set the RedeemBy, Owner Group, and Funding Pool for multiple scholarships","Resolved (Won't Complete)",,0,"Thai Nguyen","Admin: Plugin: General","3 – Must Fix","NexMarket v1.0.0","10/24/2023 10:08 AM",,,"Admin should be able to set the RedeemBy, Owner Group, and Funding Pool for multiple scholarships"
"Engineering Task",154826,"Admin should be able to change the Product to retail or wholesale, despite the type of the Store","Resolved (Won't Complete)",,0,"Thai Nguyen","Admin: Plugin: General","3 – Must Fix","NexMarket v1.0.0","10/24/2023 10:05 AM",,,"Admin should be able to change the Product to retail or wholesale, despite the type of the Store"
"Enhancement",179997,"On the store side a purchasing agent should be able to request unassignment but not directly unassign a redemption","Resolved (By Design)",,0,"Joseph Stalling","Customer View","3 – Must Fix","NexMarket v1.0.0","08/07/2024 8:45 PM",,,"On the store side a purchasing agent should be able to request unassignment but not directly unassign a redemption"
"Enhancement",147975,"Admins should be able to filter and search for a specific store within Topic management area","Resolved (By Design)",,0,"Thai Nguyen","Admin: Store","3 – Must Fix","NexMarket v1.0.0","03/01/2023 3:12 PM",,,"Admins should be able to filter and search for a specific store within Topic management area - It's already a feature in Nop Commerce"
"Enhancement",177195,"order details page should link to redemptions page for wholesale","Resolved (Duplicate)",,0,"Joseph Stalling","Admin: Order: Wholesale","3 – Must Fix","NexMarket v1.0.0","02/20/2024 11:39 PM","for wholesale orders (autoredeem not set), the order details page should display a link that sends the user to the assignments page that displays assignments for that order",,"order details page should link to redemptions page for wholesale"
"Enhancement",209714,"Admins should decide what action to be taken during assignment if the user has previous enrollment status","Resolved (To Production)",,0,"TQA Lawton","Customer View: Wholesale: Assignment","3 – Must Fix","NexMarket v1.0.0","09/24/2025 6:13 PM","If the user already has previous enrollment status, the assignment cannot be completed without approval from administrators.",,"Admins should decide what action to be taken during assignment if the user has previous enrollment status - Case tested on Beta and ready for Production through the test process."
"Enhancement",209458,"Wholesale purchases should always require a request to refund outside administrative view","Resolved (To Production)",,0,"TQA Lawton","Admin: Customer","3 – Must Fix","NexMarket v1.0.0","09/05/2025 3:53 PM","Even if the user has admin permission, outside of the administrative view, the refund for wholesale purchase items should always require a request to the customer service",,"Wholesale purchases should always require a request to refund outside administrative view - Case tested on Beta and ready for Production through the test process."
"Enhancement",208903,"Admins should be able to specify owner organization of the new user account in Nexport when registering through marketplace","Resolved (To Production)",,0,"TQA Lawton","Admin: Plugin: Configuration","3 – Must Fix","NexMarket v1.0.0","08/06/2025 4:00 PM","Currently, when a new user account is created in Nexport through marketplace registration, the owner organization is set to be the root organization of the marketplace instance. There should be an option within each store of the instance to allow overriding the owner organization based on the organization of the store itself.",,"Admins should be able to specify owner organization of the new user account in Nexport when registering through marketplace - Case tested on Beta and ready for Production through the test process."
"Enhancement",196756,"Admin should recieve a warning when a refund needs to be also processed in the payment provider","Resolved (To Production)",,0,"TQA Lawton","Misc","3 – Must Fix","NexMarket v1.0.0","08/06/2025 3:55 PM","For some payment service admins will have to complete the refund in Nop Commerce AND go to the payment service site to complete the actual refund of money.
In these cases marketplace should warn the Admins.",,"Admin should recieve a warning when a refund needs to be also processed in the payment provider - Case tested on Beta and ready for Production through the test process."
"Enhancement",178941,"Admins should be able to see the history of assignments and unassignments for both students and the org customers","Resolved (To Production)",,0,"TQA Lawton","Customer View","3 – Must Fix","NexMarket v1.0.0","07/30/2025 4:55 PM","Should be able to search a purchasing group's redemption/unassign history as well as an individual group.

May be covered by another case.

Here is the information that should be available:
Who performed the Assignment or Unassignment
Why did they perform the assignment/unassignment
Date and Time it occurred


",,"Admins should be able to see the history of assignments and unassignments for both students and the org customers - Case tested on Beta and ready for Production through the test process."
"Enhancement",205322,"During the seat assignment process Admins should be able to slect a different purchasing group ""library"" for the seat","Resolved (To Production)",,0,"TQA Lawton","Misc","3 – Must Fix","NexMarket v1.0.0","07/30/2025 4:55 PM","This will allow the library to assign seats to the state of california that will be later re-assigned to individual libraries and students.",,"During the seat assignment process Admins should be able to slect a different purchasing group ""library"" for the seat - Case tested on Beta and ready for Production through the test process."
"Enhancement",205325,"During the student seat assignment admins need to be able to select the store the purchase is made for","Resolved (To Production)",,0,"TQA Lawton","Misc","3 – Must Fix","NexMarket v1.0.0","07/30/2025 4:55 PM",,,"During the student seat assignment admins need to be able to select the store the purchase is made for - Case tested on Beta and ready for Production through the test process."
"Enhancement",199006,"Admins should be able to see assigned customer information within refund request","Resolved (To Production)",,0,"TQA Lawton","Misc","3 – Must Fix","NexMarket v1.0.0","07/30/2025 4:45 PM",,,"Admins should be able to see assigned customer information within refund request - Case tested on Beta and ready for Production through the test process."
"Enhancement",205323,"Admins should be able to see what membership groups will be given to students prior to assigning a scholarship/seat","Resolved (To Production)",,0,"TQA Lawton","Misc","3 – Must Fix","NexMarket v1.0.0","07/30/2025 4:46 PM",,,"Admins should be able to see what membership groups will be given to students prior to assigning a scholarship/seat - Case tested on Beta and ready for Production through the test process."
"Enhancement",197145,"Users should be able to purchase a course even if the person has an active enrollment/completion for the course ","Resolved (To Production)",,0,"TQA Lawton","Customer View: Checkout","3 – Must Fix","NexMarket v1.0.0","07/16/2025 3:21 PM","Unable to purchase a NOT AUTO REDEEM course because the purchaser has an active enrollment; however the new purchase was not for the purchaser but for others to take the course

This needs to be an option in the mapping",,"Users should be able to purchase a course even if the person has an active enrollment/completion for the course  - Case tested on Beta and ready for Production through the test process."
"Enhancement",198505,"Admins should be able to specify a future start date for wholesale assignment","Resolved (To Production)",,0,"TQA Lawton","Misc","3 – Must Fix","NexMarket v1.0.0","07/16/2025 3:37 PM",,,"Admins should be able to specify a future start date for wholesale assignment - Case tested on Beta and ready for Production through the test process."
"Enhancement",207453,"Customer should be able to see notes describing why a refund is accepted","Resolved (To Production)",,0,"TQA Lawton","Misc","3 – Must Fix","NexMarket v1.0.0","07/16/2025 3:22 PM",,,"Customer should be able to see notes describing why a refund is accepted - Case tested on Beta and ready for Production through the test process."
"Enhancement",206130,"Users should see the last purchase date and quantity on each product similiar to Amazon","Resolved (To Production)",,0,"TQA Lawton","Misc","3 – Must Fix","NexMarket v1.0.0","07/16/2025 1:32 PM",,,"Users should see the last purchase date and quantity on each product similiar to Amazon - Case tested on Beta and ready for Production through the test process."
"Enhancement",205324,"When the purchasing group is changed for an invoice item seat and then assigned it should obey the store mapping for that group","Resolved (To Production)",,0,"TQA Lawton","Misc","3 – Must Fix","NexMarket v1.0.0","07/01/2025 3:12 PM","Group memberships should be picked up from the mapping",,"When the purchasing group is changed for an invoice item seat and then assigned it should obey the store mapping for that group - Case tested on Beta and ready for Production through the test process."
"Enhancement",206128,"Admins should be able to force manual approval when completion threshold is not met","Resolved (To Production)",,0,"TQA Lawton","Misc","3 – Must Fix","NexMarket v1.0.0","07/01/2025 3:11 PM","Currently, the manual approval method behavior is applied only when the completion threshold is met. However, in some case, the admins need to approve the enrollment action no matter what. There should be an additional option that would force manual approval from the admins when the completion threshold is not met.",,"Admins should be able to force manual approval when completion threshold is not met - Case tested on Beta and ready for Production through the test process."
